ans	Most recent answer
NET.invokeGenericMethod	Invoke generic method of object
NET.isNETSupported	Check for supported version of Microsoft .NET
NET.NetException	Capture error information for .NET exception
NET.setStaticProperty	Static property or field name
NETEnvironment	.NET environment information (Since R2022b)
Remove	Convenience function for static .NET System.Delegate Remove method
RemoveAll	Convenience function for static .NET System.Delegate RemoveAll method
Call MATLAB from .NET
matlab.engine.engineName	Return name of shared MATLAB session
matlab.engine.isEngineShared	Determine if MATLAB session is shared
matlab.engine.shareEngine	Convert running MATLAB session to shared session
matlab.engine.typedinterface.generateCSharp	Generate C# code interface for MATLAB namespaces, classes, and functions (Since R2023b)
COM with MATLAB
Use COM Objects in MATLAB
actxGetRunningServer	Handle to running instance of Automation server
actxserver	Create COM server
COM	Access COM components from MATLAB
eventlisteners	List event handler functions associated with COM object events
iscom	Determine whether input is COM object
isevent	Determine whether input is COM object event
isinterface	Determine whether input is COM interface
methodsview	View class methods
registerevent	Associate event handler for COM object event at run time
unregisterallevents	Unregister all event handlers associated with COM object events
unregisterevent	Unregister event handler associated with COM object event at run time
Write COM Applications to Work with MATLAB
comserver	Register, unregister, or query MATLAB COM server (Since R2020a)
enableservice	Enable, disable, or report status of MATLAB Automation server
regmatlabserver	Register current MATLAB as COM server
Web Services with MATLAB
Call MATLAB Functions Using REST Function Service
ClientRequestInfo	Client to function service HTTPS request information (Since R2024a)
RESTFunctionConnector	MATLAB to client application connection (Since R2024a)
RESTFunctionService	Service for calling MATLAB functions from client applications (Since R2024a)
restFunctionServices	List of function services in current MATLAB session (Since R2024a)
Call Web Services from MATLAB Using HTTP
matlab.net.ArrayFormat	Convert arrays in HTTP queries
matlab.net.base64decode	Base 64 decoding of string
matlab.net.base64encode	Base 64 encoding of byte string or vector
matlab.net.http.AuthenticationScheme	HTTP Authentication scheme
matlab.net.http.AuthInfo	Authentication or authorization information in HTTP messages
matlab.net.http.Cookie	HTTP cookie received from server
matlab.net.http.CookieInfo	HTTP cookie information
matlab.net.http.Credentials	Credentials for authenticating HTTP requests
matlab.net.http.Disposition	Results in HTTP log record
matlab.net.http.field.AcceptField	HTTP Accept header field
matlab.net.http.field.AuthenticateField	HTTP WWW-Authenticate or Proxy-Authenticate header field
matlab.net.http.field.AuthenticationInfoField	HTTP Authentication-Info header field in response message
matlab.net.http.field.AuthorizationField	HTTP Authorization or Proxy-Authorization header field
matlab.net.http.field.ContentDispositionField	HTTP Content-Disposition header field
matlab.net.http.field.ContentLengthField	HTTP Content-Length field
matlab.net.http.field.ContentLocationField	HTTP Content-Location header field
matlab.net.http.field.ContentTypeField	HTTP Content-Type header field
matlab.net.http.field.CookieField	HTTP Cookie header field
matlab.net.http.field.DateField	HTTP Date header field
matlab.net.http.field.GenericField	HTTP header field with any name and value
matlab.net.http.field.GenericParameterizedField	GenericField to support parameterized syntax
matlab.net.http.field.HTTPDateField	HTTP header field containing date
matlab.net.http.field.IntegerField	Base class for HTTP header fields containing nonnegative integers
matlab.net.http.field.LocationField	HTTP Location header field
matlab.net.http.field.MediaRangeField	Base class for HTTP Content-Type and Accept header fields
matlab.net.http.field.SetCookieField	HTTP Set-Cookie header field
matlab.net.http.field.URIReferenceField	Base class for HTTP header fields containing URI components
matlab.net.http.HeaderField	Header field of HTTP message
matlab.net.http.HTTPException	Exception thrown by HTTP services
matlab.net.http.HTTPOptions	Options controlling HTTP message exchange
matlab.net.http.io.BinaryConsumer	Consumer for binary data in HTTP messages
matlab.net.http.io.ContentConsumer	Consumer for HTTP message payloads
matlab.net.http.io.ContentProvider	ContentProvider for HTTP message payloads
matlab.net.http.io.FileConsumer	Consumer for files in HTTP messages
matlab.net.http.io.FileProvider	ContentProvider to send files
matlab.net.http.io.FormProvider	ContentProvider that sends form data
matlab.net.http.io.GenericConsumer	Consumer for multiple content types in HTTP messages
matlab.net.http.io.GenericProvider	Generic ContentProvider for HTTP payloads
matlab.net.http.io.ImageConsumer	Consumer for image data in HTTP payloads
matlab.net.http.io.ImageProvider	ContentProvider to send MATLAB image data
matlab.net.http.io.JSONConsumer	Content consumer that converts JSON input into MATLAB data
matlab.net.http.io.JSONProvider	ContentProvider to send MATLAB data as JSON string
matlab.net.http.io.MultipartConsumer	Helper for multipart content types in HTTP messages
matlab.net.http.io.MultipartFormProvider	ContentProvider to send multipart/form-data messages
matlab.net.http.io.MultipartProvider	ContentProvider to send multipart/mixed HTTP messages
matlab.net.http.io.StringConsumer	String consumer for HTTP payloads
matlab.net.http.io.StringProvider	ContentProvider to send MATLAB strings
matlab.net.http.LogRecord	HTTP history log record
matlab.net.http.MediaType	Internet media type used in HTTP headers
matlab.net.http.Message	HTTP request or response message
matlab.net.http.MessageBody	Body of HTTP message
matlab.net.http.MessageType	HTTP message type
matlab.net.http.ProgressMonitor	Progress monitor for HTTP message exchange
matlab.net.http.ProtocolVersion	HTTP protocol version
matlab.net.http.RequestLine	First line of HTTP request message
matlab.net.http.RequestMessage	HTTP request message
matlab.net.http.RequestMethod	HTTP request method
matlab.net.http.ResponseMessage	HTTP response message
matlab.net.http.StartLine	First line of HTTP message
matlab.net.http.StatusClass	Status class of HTTP response
matlab.net.http.StatusCode	Status code in HTTP response
matlab.net.http.StatusLine	First line of HTTP response message
matlab.net.QueryParameter	Parameter in query portion of uniform resource identifier (URI)
matlab.net.URI	Uniform resource identifier (URI)
Call Web Services from MATLAB Using WSDL
matlab.wsdl.createWSDLClient	Create interface to SOAP-based web service
matlab.wsdl.setWSDLToolPath	Location of WSDL tools
C with MATLAB
Call C from MATLAB
calllib	Call function in C shared library
lib.pointer	Pointer object compatible with C pointer
libfunctions	Return information on functions in shared C library
libfunctionsview	Display shared C library function signatures in window
libisloaded	Determine if shared C library is loaded
libpointer	Pointer object for use with shared C library
libstruct	Convert MATLAB structure to C-style structure for use with shared C library
loadlibrary	Load C shared library into MATLAB
unloadlibrary	Unload shared C library from memory
Write C Functions Callable from MATLAB (MEX Files)
dbmex	Enable MEX-file debugging on UNIX platforms
mex	Build MEX function or engine application
Environment and Settings
Startup and Shutdown
batchStartupOptionUsed	Determine if MATLAB started with -batch option
exit	Terminate MATLAB program (same as quit)
finish	User-defined termination script for MATLAB
matlab (Linux)	Start MATLAB program from Linux system prompt
matlab (macOS)	Start MATLAB program from macOS Terminal
matlab (Windows)	Start MATLAB program from Windows system prompt
matlabrc	System administrator-defined startup script for MATLAB
quit	Terminate MATLAB program
startup	User-defined startup script for MATLAB
Desktop
prefdir	Folder containing preferences, settings, history, and layout files
Add-Ons
matlab.addons.disableAddon	Disable installed add-on
matlab.addons.enableAddon	Enable installed add-on
matlab.addons.install	Install add-on
matlab.addons.installedAddons	Get list of installed add-ons
matlab.addons.isAddonEnabled	Determine if add-on is enabled
matlab.addons.uninstall	Uninstall add-on
matlabshared.supportpkg.getInstalled	List of installed support packages
matlabshared.supportpkg.getSupportPackageRoot	Get root folder of support packages
matlabshared.supportpkg.setSupportPackageRoot	Set root folder of support packages
upgradePreviouslyInstalledSupportPackages	Get previously installed hardware support packages and optional features for the currently installed release
